ticker,name,category,leverage,inverse,yahoo_ok,krx_advol_억
0000D0.KS,TIGER 엔비디아미국채커버드콜밸런스(합성),채권/금리,1.0,False,False,3.4
0000H0.KS,KODEX 인도Nifty미드캡100,국가/신흥,1.0,False,False,0.1
0000J0.KS,PLUS 한화그룹주,기타,1.0,False,False,23.6
0000Y0.KS,HK 26-12 회사채(AA-이상)액티브,채권/금리,1.0,False,False,0.1
0000Z0.KS,RISE 바이오TOP10액티브,바이오/헬스,1.0,False,False,25.2
0001P0.KS,마이티 바이오시밀러&CDMO액티브,바이오/헬스,1.0,False,False,0.1
0002C0.KS,에셋플러스 인도일등기업포커스20액티브,국가/신흥,1.0,False,False,0.0
0004G0.KS,1Q 미국배당TOP30,기타,1.0,False,False,0.3
0005A0.KS,KODEX 미국S&P500데일리커버드콜OTM,지수/광범위,1.0,False,False,15.7
0005C0.KS,RISE 미국S&P500엔화노출(합성 H),지수/광범위,1.0,False,False,0.0
0005D0.KS,SOL 전고체배터리&실리콘음극재,2차전지,1.0,False,False,65.3
0005G0.KS,IBK K-AI반도체코어테크,반도체,1.0,False,False,30.0
0007F0.KS,KODEX 27-12 회사채(AA-이상)액티브,채권/금리,1.0,False,False,5.9
0007G0.KS,PLUS 글로벌원자력밸류체인,원자재/에너지,1.0,False,False,0.4
0007N0.KS,아이엠에셋 200,기타,1.0,False,False,0.2
0008E0.KS,ACE 미국중심중소형제조업,기타,1.0,False,False,0.1
0008S0.KS,TIGER 미국배당다우존스타겟데일리커버드콜,기타,1.0,False,False,23.1
0008T0.KS,SOL 화장품TOP3플러스,기타,1.0,False,False,286.1
0013P0.KS,RISE 미국은행TOP10,금융,1.0,False,False,1.1
0013R0.KS,RISE 테슬라미국채타겟커버드콜혼합(합성),채권/금리,1.0,False,False,1.2
0015B0.KS,KoAct 미국나스닥성장기업액티브,AI/테크,1.0,False,False,71.7
0015E0.KS,KIWOOM 엔비디아미국30년국채혼합액티브(H),채권/금리,1.0,False,False,0.1
0015F0.KS,KIWOOM 팔란티어미국30년국채혼합액티브(H),채권/금리,1.0,False,False,1.3
0015K0.KS,TIGER 미국소비트렌드액티브,기타,1.0,False,False,0.0
0016X0.KS,SOL 중단기회사채(A-이상)액티브,채권/금리,1.0,False,False,1.3
0017Y0.KS,1Q 종합채권(AA-이상)액티브,채권/금리,1.0,False,False,0.0
0018C0.KS,PLUS 고배당주위클리고정커버드콜,기타,1.0,False,False,7.1
0018Z0.KS,RISE 미국양자컴퓨팅,AI/테크,1.0,False,False,1.5
0019K0.KS,TIME 미국나스닥100채권혼합50액티브,AI/테크,1.0,False,False,45.5
0020H0.KS,KoAct 글로벌양자컴퓨팅액티브,AI/테크,1.0,False,False,3.2
0022T0.KS,SOL 국제금커버드콜액티브,귀금속,1.0,False,False,15.2
0023A0.KS,SOL 미국양자컴퓨팅TOP10,AI/테크,1.0,False,False,55.9
0023B0.KS,PLUS 미국양자컴퓨팅TOP10,AI/테크,1.0,False,False,3.7
0025N0.KS,TIGER TDF2045 적격,기타,1.0,False,False,45.0
0026E0.KS,KODEX 미국S&P500버퍼3월액티브,지수/광범위,1.0,False,False,0.0
0026S0.KS,1Q 미국S&P500,지수/광범위,1.0,False,False,14.9
0028X0.KS,KODEX 미국금융테크액티브,금융,1.0,False,False,2.1
0035T0.KS,PLUS 글로벌휴머노이드로봇액티브,AI/테크,1.0,False,False,5.3
0036D0.KS,TIME 미국배당다우존스액티브,기타,1.0,False,False,52.2
0036R0.KS,RISE 미국휴머노이드로봇,AI/테크,1.0,False,False,4.4
0036Z0.KS,RISE 미국천연가스밸류체인,원자재/에너지,1.0,False,False,0.0
0038A0.KS,KODEX 미국휴머노이드로봇,AI/테크,1.0,False,False,22.6
0040S0.KS,HANARO 글로벌피지컬AI액티브,기타,1.0,False,False,2.8
0040X0.KS,SOL 팔란티어미국채커버드콜혼합,채권/금리,1.0,False,False,23.4
0040Y0.KS,SOL 팔란티어커버드콜OTM채권혼합,채권/금리,1.0,False,False,24.7
0041D0.KS,KODEX 미국AI소프트웨어TOP10,AI/테크,1.0,False,False,11.2
0041E0.KS,KODEX 미국S&P500액티브,지수/광범위,1.0,False,False,20.5
0043B0.KS,TIGER 머니마켓액티브,채권/금리,1.0,False,False,123.8
0043Y0.KS,TIME 차이나AI테크액티브,AI/테크,1.0,False,False,26.8
0046A0.KS,TIGER 미국초단기(3개월이하)국채,채권/금리,1.0,False,False,67.2
0046Y0.KS,ACE 미국배당퀄리티,기타,1.0,False,False,2.1
0047A0.KS,TIGER 차이나테크TOP10,AI/테크,1.0,False,False,6.5
0047N0.KS,PLUS 차이나AI테크TOP10,AI/테크,1.0,False,False,0.1
0047P0.KS,RISE 테슬라고정테크100,AI/테크,1.0,False,False,2.4
0047R0.KS,RISE 팔란티어고정테크100,AI/테크,1.0,False,False,0.8
0048J0.KS,KODEX 미국머니마켓액티브,채권/금리,1.0,False,False,110.7
0048K0.KS,KODEX 차이나휴머노이드로봇,AI/테크,1.0,False,False,37.0
0049K0.KS,ACE 미국배당퀄리티채권혼합50,채권/금리,1.0,False,False,3.0
0049M0.KS,ACE 미국배당퀄리티+커버드콜액티브,기타,1.0,False,False,3.0
0050E0.KS,PLUS 미국AI에이전트,기타,1.0,False,False,0.0
0051A0.KS,KoAct 브로드컴밸류체인액티브,기타,1.0,False,False,0.5
0051G0.KS,SOL 미국원자력SMR,원자재/에너지,1.0,False,False,2.7
0052D0.KS,TIGER 코리아배당다우존스,기타,1.0,False,False,28.1
0052S0.KS,1Q 미국S&P500미국채혼합50액티브,채권/금리,1.0,False,False,13.4
0052T0.KS,1Q 중단기회사채(A-이상)액티브,채권/금리,1.0,False,False,0.0
0053L0.KS,TIGER 차이나휴머노이드로봇,AI/테크,1.0,False,False,20.4
0053M0.KS,더제이 중소형포커스액티브,기타,1.0,False,False,0.0
0057H0.KS,PLUS 미국S&P500미국채혼합50액티브,채권/금리,1.0,False,False,6.4
0060H0.KS,TIGER 토탈월드스탁액티브,기타,1.0,False,False,7.5
0061Z0.KS,RISE 단기특수은행채액티브,금융,1.0,False,False,52.1
0064K0.KS,KODEX 금액티브,기타,1.0,False,False,24.4
0065G0.KS,KODEX 차이나테크TOP10,AI/테크,1.0,False,False,1.9
0066W0.KS,SOL 국제금,귀금속,1.0,False,False,8.9
0067V0.KS,TIGER 차이나글로벌리더스TOP3+,기타,1.0,False,False,0.1
0067Y0.KS,TIGER 차이나AI소프트웨어,AI/테크,1.0,False,False,1.4
0068M0.KS,KODEX 미국S&P500버퍼6월액티브,지수/광범위,1.0,False,False,0.0
0069M0.KS,1Q 미국나스닥100,AI/테크,1.0,False,False,16.4
0072R0.KS,TIGER KRX금현물,귀금속,1.0,False,False,84.6
0073X0.KS,FOCUS 알리바바미국채커버드콜혼합,채권/금리,1.0,False,False,0.1
0074K0.KS,KoAct K수출핵심기업TOP30액티브,기타,1.0,False,False,22.8
0078V0.KS,PLUS 미국로보택시,기타,1.0,False,False,0.1
0079X0.KS,ACE BYD밸류체인액티브,기타,1.0,False,False,0.3
0080G0.KS,KODEX 방산TOP10,우주/방산,1.0,False,False,215.4
0080X0.KS,SOL 미국S&P500미국채혼합50,채권/금리,1.0,False,False,8.5
0080Y0.KS,SOL 조선TOP3플러스레버리지,우주/방산,2.0,False,False,63.8
0082F0.KS,HANARO 유럽방산,우주/방산,1.0,False,False,0.1
0082V0.KS,KODEX TDF2060액티브 적격,기타,1.0,False,False,12.0
0083S0.KS,1Q 미국메디컬AI,기타,1.0,False,False,0.8
0084D0.KS,KIWOOM 미국테크100월간목표헤지액티브,AI/테크,1.0,False,False,0.0
0084E0.KS,KIWOOM 미국대형주500월간목표헤지액티브,기타,1.0,False,False,0.0
0085N0.KS,ACE 미국10년국채액티브(H),채권/금리,1.0,False,False,2.9
0085P0.KS,ACE 미국10년국채액티브,채권/금리,1.0,False,False,17.0
0086B0.KS,TIGER 리츠부동산인프라TOP10액티브,부동산/리츠,1.0,False,False,2.0
0086C0.KS,TIGER 리츠부동산인프라10채권혼합액티브,부동산/리츠,1.0,False,False,0.4
0087F0.KS,ACE 차이나AI빅테크TOP2+액티브,AI/테크,1.0,False,False,0.2
0088N0.KS,WON K-글로벌수급상위,기타,1.0,False,False,0.7
0089B0.KS,PLUS 미국나스닥100미국채혼합50,AI/테크,1.0,False,False,2.4
0089C0.KS,KODEX 미국S&P500변동성확대시커버드콜,지수/광범위,1.0,False,False,0.1
0089D0.KS,KODEX 금융고배당TOP10,금융,1.0,False,False,16.0
0090B0.KS,PLUS K방산소부장,반도체,1.0,False,False,4.3
0091C0.KS,KODEX 미국10년국채액티브(H),채권/금리,1.0,False,False,5.5
0091M0.KS,HANARO 27-06 회사채(AA-이상)액티브,채권/금리,1.0,False,False,0.0
0091P0.KS,TIGER 코리아원자력,원자재/에너지,1.0,False,False,212.8
0092B0.KS,SOL 한국원자력SMR,원자재/에너지,1.0,False,False,24.3
0092C0.KS,SOL 27-12 회사채(AA-이상)액티브,채권/금리,1.0,False,False,1.5
0093A0.KS,RISE AI반도체TOP10,반도체,1.0,False,False,22.6
0093B0.KS,RISE 엔비디아고정테크100,AI/테크,1.0,False,False,0.4
0093D0.KS,KoAct 팔란티어밸류체인액티브,기타,1.0,False,False,2.4
0094K0.KS,TIGER 28-04 회사채(A+이상)액티브,채권/금리,1.0,False,False,20.5
0094L0.KS,RISE 차이나테크TOP10위클리타겟커버드콜,AI/테크,1.0,False,False,1.5
0094M0.KS,RISE 코리아밸류업위클리고정커버드콜,기타,1.0,False,False,122.0
0094X0.KS,1Q 샤오미밸류체인액티브,기타,1.0,False,False,0.2
0097L0.KS,KIWOOM 한국고배당&미국AI테크,AI/테크,1.0,False,False,1.5
0098F0.KS,KODEX 원자력SMR,원자재/에너지,1.0,False,False,62.9
0098N0.KS,PLUS 자사주매입고배당주,기타,1.0,False,False,10.2
