ticker,name,yf_sector,industry,close,adr,week_perf,rev_growth,market_cap,avg_vol60,natr50
SMTC,,Technology,Semiconductors,182.3000030517578,6.5926277237596365,-1.4594578098606426,0.327,17013261312.0,2963245.0,5.953803384192631
NTSK,,Technology,Software - Infrastructure,17.670000076293945,6.484176098135741,1.0291612780522819,0.292,7219745280.0,5527315.0,5.143078879918641
SBET,,Financial Services,Capital Markets,9.630000114440918,6.361082688588526,2.994649428315621,15.539,2091863296.0,8966901.666666666,5.256388812624461
STLN,,Healthcare,Medical Care Facilities,6.659999847412109,6.138815734888392,-4.310347544405113,0.346,678761280.0,1632121.6666666667,5.670456288198144
RBRK,,Technology,Software - Infrastructure,109.55000305175781,5.995994038033903,2.6614225392664226,0.379,22548518912.0,3244565.0,4.577818750289973
LITE,,,,941.6500244140625,5.956287107615621,1.1537153515771559,1.0934054503848554,84466008064.0,4598780.0,7.314556544851042
IBRX,,,,8.4399995803833,5.834214139721783,-0.4716976888241464,0.9390728476821193,8945017856.0,9541596.666666666,6.061477160669406
SNDK,,Technology,Computer Hardware,1777.800048828125,5.802920257569744,-0.782438966034138,3.716,260303716352.0,13664205.0,7.274986832049768
SEI,,Energy,Oil & Gas Equipment & Services,70.97000122070312,5.745638241814577,1.8805591296664037,0.469,7141452800.0,3112671.6666666665,6.433093490341083
HTFL,,,,49.16999816894531,5.0722552793902365,-3.113304100600367,0.47572770817980836,4275509504.0,1778380.0,4.565384425134688
RBLX,,Communication Services,Electronic Gaming & Multimedia,46.439998626708984,4.999019349829403,-2.8858240839022775,0.359,33175617536.0,11621248.333333334,5.972606514322013
PANW,,Technology,Software - Infrastructure,374.739990234375,4.878331964152882,3.0694768893422486,0.345,306537299968.0,6442035.0,4.132313462165952
NTAP,,Technology,Software - Infrastructure,201.14999389648438,4.4590670597226545,1.6987717904872968,0.299,39508701184.0,2528906.6666666665,3.58329863098765
TH,,Industrials,Specialty Business Services,20.579999923706055,4.45816720788641,-2.878719183471179,0.387,2015395712.0,1534325.0,4.272770725011765
TEAM,,Technology,Software - Application,187.74000549316406,4.432768440063262,-2.2289338006804216,0.276,47524282368.0,4204676.666666667,4.235924639911605
SPCX,,Industrials,Aerospace & Defense,148.67999267578125,4.21935827636446,-2.638998009892679,0.919,1958738001920.0,92803743.33333333,8.63715850834261
SNOW,,Technology,Software - Application,335.94000244140625,4.198767594015207,1.055864345263302,0.351,118519635968.0,4898615.0,4.127491873579748
SNX,,Technology,Electronics & Computer Distribution,263.0299987792969,3.4952061985038974,-1.175986188663436,0.377,20794888192.0,811471.6666666666,3.542397931445311
SCCO,,Basic Materials,Copper,203.9199981689453,3.364734353125387,4.200307280984328,0.406,172178554880.0,1129097.8333333333,4.009048577675443
TSLA,,Consumer Cyclical,Auto Manufacturers,372.1099853515625,3.2130254450124296,2.152248764472442,0.255,1469666033664.0,38639776.666666664,3.9022476339961094
TAL,,Consumer Defensive,Education & Training Services,12.0,3.0615078685229946,1.6088024863039507,0.319,6656414720.0,4730148.333333333,3.1877941360871582
